date,open,high,low,close,volume
2022-01-03,180.0,180.3967,177.5071,177.8003,11739269.0
2022-01-04,177.8003,179.1153,174.7141,176.6644,7975457.0
2022-01-05,176.6644,181.0973,175.7846,178.4647,10164978.0
2022-01-06,178.4647,180.3074,175.5275,176.6625,10301801.0
2022-01-07,176.6625,181.7038,175.3021,180.7647,15125388.0
2022-01-10,180.7647,182.5476,169.6401,173.7465,12758432.0
2022-01-11,173.7465,178.7794,172.3745,174.4437,7109231.0
2022-01-12,174.4437,177.0184,166.9584,171.9445,12443785.0
2022-01-13,171.9445,174.9579,168.1281,170.0267,13116272.0
2022-01-14,170.0267,175.4934,164.847,173.3256,14718344.0
2022-01-17,173.3256,178.5335,171.6495,175.5485,8427222.0
2022-01-18,175.5485,177.8034,172.9819,173.6399,12849272.0
2022-01-19,173.6399,176.978,170.8675,175.2638,10368248.0
2022-01-20,175.2638,179.5345,172.8598,177.6241,8017207.0
2022-01-21,177.6241,184.4893,177.4266,184.3993,8416272.0
2022-01-24,184.3993,188.1657,180.9018,187.7578,5628180.0
2022-01-25,187.7578,188.9469,179.6183,182.5869,9644256.0
2022-01-26,182.5869,188.1271,181.3265,185.2025,6837217.0
2022-01-27,185.2025,190.6295,184.3883,189.636,6057901.0
2022-01-28,189.636,193.9925,188.2988,189.4468,12471038.0
2022-01-31,189.4468,191.4259,182.7807,185.3098,10406096.0
2022-02-01,185.3098,196.4459,183.3897,193.2377,8534896.0
2022-02-02,193.2377,198.8736,187.5721,189.3845,13264705.0
2022-02-03,189.3845,193.4162,188.2313,191.676,13049440.0
2022-02-04,191.676,197.1367,186.9995,194.5648,7805176.0
2022-02-07,194.5648,199.9883,192.3241,198.2187,10981768.0
2022-02-08,198.2187,209.2924,197.9516,202.3853,11164623.0
2022-02-09,202.3853,207.8684,198.643,204.4847,6606588.0
2022-02-10,204.4847,207.8474,195.1032,200.1043,5258957.0
2022-02-11,200.1043,201.1096,197.7582,197.8334,12178091.0
2022-02-14,197.8334,198.3299,188.5178,190.1352,10777248.0
2022-02-15,190.1352,196.9102,185.115,194.6849,8124089.0
2022-02-16,194.6849,196.7373,194.3758,194.478,6497159.0
2022-02-17,194.478,196.8024,186.655,189.0504,13500790.0
2022-02-18,189.0504,190.033,185.7961,186.7525,10349956.0
2022-02-21,186.7525,187.3179,177.6824,178.9331,12039268.0
2022-02-22,178.9331,183.0326,174.5534,180.0276,6479170.0
2022-02-23,180.0276,182.4421,178.7665,180.7552,5871753.0
