date,open,high,low,close,volume
2022-01-03,450.0,457.3716,441.7028,453.3829,9916469.0
2022-01-04,453.3829,460.1579,447.9787,458.9672,5782293.0
2022-01-05,458.9672,460.7274,447.618,449.3873,11745619.0
2022-01-06,449.3873,450.8971,445.0828,447.3551,15326653.0
2022-01-07,447.3551,449.7214,436.4415,444.797,6009021.0
2022-01-10,444.797,449.4143,443.4619,448.6389,4766433.0
2022-01-11,448.6389,453.2463,446.8227,452.3459,15230001.0
2022-01-12,452.3459,468.7771,449.6457,456.7703,6814034.0
2022-01-13,456.7703,464.8756,449.2607,455.4656,11990442.0
2022-01-14,455.4656,459.3627,450.7425,453.4638,8696096.0
2022-01-17,453.4638,458.853,453.1122,455.5436,4421603.0
2022-01-18,455.5436,459.354,448.24,454.2785,4679458.0
2022-01-19,454.2785,456.9844,448.0453,451.2745,10587663.0
2022-01-20,451.2745,462.1162,448.6328,453.3456,14981897.0
2022-01-21,453.3456,455.8734,442.5144,450.2646,5879439.0
2022-01-24,450.2646,451.1229,439.9564,442.9805,9921536.0
2022-01-25,442.9805,445.7705,433.9136,436.0448,6676720.0
2022-01-26,436.0448,440.2633,425.3477,438.3348,12557369.0
2022-01-27,438.3348,441.3159,437.6446,438.3859,14372612.0
2022-01-28,438.3859,442.5334,436.9874,438.2766,7016987.0
2022-01-31,438.2766,450.8527,434.4115,440.7851,6553809.0
2022-02-01,440.7851,456.9591,438.5545,451.3892,6995871.0
2022-02-02,451.3892,463.6303,446.9256,451.9808,7297940.0
2022-02-03,451.9808,464.311,448.295,460.7253,6407217.0
2022-02-04,460.7253,467.7388,460.5969,466.4736,9341560.0
2022-02-07,466.4736,473.3388,462.2043,471.3435,8403602.0
2022-02-08,471.3435,471.7403,470.6905,470.908,7415427.0
2022-02-09,470.908,483.2793,465.5551,476.6395,11280610.0
2022-02-10,476.6395,480.0763,474.8962,476.2446,10361683.0
2022-02-11,476.2446,479.8703,471.1449,472.0381,5085702.0
2022-02-14,472.0381,481.4519,465.9067,472.2792,7516663.0
2022-02-15,472.2792,474.6476,471.4391,472.197,13195617.0
2022-02-16,472.197,474.8365,469.1414,470.9103,17106660.0
2022-02-17,470.9103,478.0951,467.679,476.1334,7785364.0
2022-02-18,476.1334,481.9635,463.0299,463.7716,7154533.0
2022-02-21,463.7716,463.852,455.1358,458.3424,6936212.0
2022-02-22,458.3424,461.9837,453.9581,454.2713,10595867.0
2022-02-23,454.2713,455.4644,448.9531,449.7154,9804179.0
2022-02-24,449.7154,455.0074,444.674,450.9835,5665953.0
2022-02-25,450.9835,454.073,439.3464,453.0749,10201284.0
2022-02-28,453.0749,453.3134,447.743,451.2146,5979995.0
2022-03-01,451.2146,453.8789,446.8124,453.5972,8503211.0
2022-03-02,453.5972,461.3286,443.3775,454.3402,10567356.0
2022-03-03,454.3402,455.1485,450.4892,454.6121,6631655.0
2022-03-04,454.6121,462.7479,448.2811,460.4701,9523033.0
2022-03-07,460.4701,463.301,448.7556,456.797,8238619.0
2022-03-08,456.797,459.4739,451.0172,456.4883,5564378.0
2022-03-09,456.4883,459.2238,451.801,455.1876,16032333.0
2022-03-10,455.1876,456.8336,448.0752,454.5077,5615695.0
2022-03-11,454.5077,473.7533,453.2661,465.6946,3720320.0
2022-03-14,465.6946,470.1505,460.7764,462.3762,14485091.0
2022-03-15,462.3762,465.593,457.7316,459.0129,8618906.0
2022-03-16,459.0129,461.4826,449.8168,455.1502,9132400.0
2022-03-17,455.1502,460.0922,449.5951,452.3978,15138741.0
2022-03-18,452.3978,462.7976,446.4787,459.9164,12470863.0
2022-03-21,459.9164,468.9833,453.598,463.748,7755837.0
2022-03-22,463.748,467.806,452.6197,462.0558,7783539.0
2022-03-23,462.0558,466.4485,458.3439,460.4991,7651368.0
2022-03-24,460.4991,465.8385,454.6507,461.0046,5452422.0
2022-03-25,461.0046,462.1753,457.9679,460.296,9981636.0
2022-03-28,460.296,463.5362,457.953,460.1989,5371369.0
2022-03-29,460.1989,467.2861,454.9412,457.0738,3447602.0
2022-03-30,457.0738,464.036,456.1131,458.887,6581250.0
2022-03-31,458.887,460.9124,451.9427,453.7287,8741858.0
2022-04-01,453.7287,457.9202,453.5396,455.6159,8259697.0
2022-04-04,455.6159,460.7644,446.9396,459.6306,11100867.0
2022-04-05,459.6306,465.423,448.7863,455.6942,8494475.0
2022-04-06,455.6942,461.5863,448.0628,455.1447,10367479.0
2022-04-07,455.1447,463.3459,450.6439,461.3215,9712414.0
2022-04-08,461.3215,462.5133,455.5019,460.2986,10166423.0
2022-04-11,460.2986,462.542,459.4402,459.614,10087224.0
2022-04-12,459.614,469.2527,457.1264,457.7437,9887172.0
2022-04-13,457.7437,466.9869,456.1092,466.2086,7353893.0
2022-04-14,466.2086,467.136,464.0065,465.6827,8968870.0
2022-04-15,465.6827,470.8829,458.8559,464.1524,10699143.0
2022-04-18,464.1524,475.9515,461.5648,465.7622,10153971.0
2022-04-19,465.7622,488.7137,459.2758,479.0622,4343761.0
2022-04-20,479.0622,481.7931,466.199,469.0136,8971959.0
2022-04-21,469.0136,472.0169,463.6599,467.8727,7792832.0
2022-04-22,467.8727,473.4064,467.5568,469.2887,10345970.0
2022-04-25,469.2887,475.7136,465.263,466.5472,10307966.0
2022-04-26,466.5472,469.2505,462.0318,464.0629,17503487.0
2022-04-27,464.0629,469.9084,462.5717,468.5257,13164545.0
2022-04-28,468.5257,479.0773,463.5643,468.9547,9210783.0
2022-04-29,468.9547,481.5804,468.4866,480.9143,7196592.0
2022-05-02,480.9143,497.9691,476.5275,493.0372,5537269.0
2022-05-03,493.0372,499.745,479.077,486.8545,5086046.0
2022-05-04,486.8545,487.9498,476.8755,478.9315,8835416.0
2022-05-05,478.9315,487.0507,478.4043,480.4504,9808831.0
2022-05-06,480.4504,482.2963,475.653,480.8327,8069369.0
2022-05-09,480.8327,485.5903,466.5109,476.422,9147937.0
2022-05-10,476.422,482.2522,469.3638,479.1647,6381487.0
2022-05-11,479.1647,479.8522,476.324,477.6577,6129517.0
2022-05-12,477.6577,485.3092,462.612,469.1594,11004237.0
2022-05-13,469.1594,472.9036,467.8643,469.1661,12370655.0
2022-05-16,469.1661,478.1979,466.5435,473.35,9542680.0
2022-05-17,473.35,474.8488,467.6708,471.1051,8352511.0
2022-05-18,471.1051,479.7378,470.1405,473.0388,13645684.0
2022-05-19,473.0388,481.5865,468.0561,472.7211,6171366.0
2022-05-20,472.7211,474.8488,462.8302,473.0699,10456373.0
2022-05-23,473.0699,483.6909,471.074,482.632,11259629.0
2022-05-24,482.632,493.5038,482.4155,491.7156,5003082.0
2022-05-25,491.7156,493.1268,490.2012,492.2078,7381796.0
2022-05-26,492.2078,493.2027,487.6102,490.2697,9745082.0
2022-05-27,490.2697,498.7225,489.1252,493.0754,6415494.0
2022-05-30,493.0754,502.9018,485.9308,488.114,9961928.0
2022-05-31,488.114,491.8629,484.4145,486.9854,9394773.0
2022-06-01,486.9854,494.5636,479.8817,484.7356,11179486.0
2022-06-02,484.7356,488.5125,482.6697,483.6788,3671085.0
2022-06-03,483.6788,484.0712,471.4506,481.8139,11742989.0
2022-06-06,481.8139,486.4236,475.7825,477.4927,9089502.0
2022-06-07,477.4927,485.4111,473.5925,480.0272,9792362.0
2022-06-08,480.0272,486.2697,473.1821,474.9934,10236487.0
2022-06-09,474.9934,477.9393,470.0507,473.7099,8568637.0
2022-06-10,473.7099,477.6945,470.5817,475.8541,9058379.0
2022-06-13,475.8541,480.2678,472.2057,480.0693,5767343.0
2022-06-14,480.0693,490.4691,478.1191,487.7377,7803308.0
2022-06-15,487.7377,493.6592,484.6481,489.0003,6619892.0
2022-06-16,489.0003,496.7977,479.3149,490.8662,8270769.0
2022-06-17,490.8662,494.5713,472.9009,482.9869,11453261.0
2022-06-20,482.9869,487.3362,479.0966,485.0356,8625356.0
2022-06-21,485.0356,490.719,483.8322,490.1109,11772627.0
2022-06-22,490.1109,495.3459,488.0892,491.8003,21272908.0
2022-06-23,491.8003,496.0562,489.2086,490.9938,13726488.0
2022-06-24,490.9938,501.1653,487.1468,495.7798,9129608.0
2022-06-27,495.7798,497.7848,494.2075,496.716,5024153.0
2022-06-28,496.716,502.9278,493.293,500.4432,6500178.0
2022-06-29,500.4432,508.9841,493.9359,502.4299,8546990.0
2022-06-30,502.4299,505.2315,493.2148,495.7251,14881191.0
2022-07-01,495.7251,499.1312,495.521,499.1231,6698396.0
2022-07-04,499.1231,515.0641,496.3304,508.7771,9475054.0
2022-07-05,508.7771,513.8842,508.0764,511.4047,8516665.0
2022-07-06,511.4047,520.1387,507.8236,511.5349,12397110.0
2022-07-07,511.5349,517.1585,510.5239,510.8889,11271260.0
2022-07-08,510.8889,511.9898,504.1901,506.9741,8831881.0
2022-07-11,506.9741,523.5192,505.3418,515.3135,7615686.0
2022-07-12,515.3135,522.2579,508.651,512.1302,8355655.0
2022-07-13,512.1302,516.4318,508.6864,511.4757,14253488.0
2022-07-14,511.4757,516.9313,496.5628,500.9564,7320404.0
2022-07-15,500.9564,502.9661,497.6066,499.9752,8438588.0
2022-07-18,499.9752,507.8859,496.4444,504.0512,8525083.0
2022-07-19,504.0512,510.1896,497.9892,501.6336,6494082.0
2022-07-20,501.6336,502.8808,493.9947,495.3383,11516744.0
2022-07-21,495.3383,501.0185,491.4472,493.3342,8937033.0
2022-07-22,493.3342,500.4599,480.9318,493.5841,8596287.0
2022-07-25,493.5841,499.0284,491.4603,495.634,14053403.0
2022-07-26,495.634,500.1764,493.3936,493.4804,13205616.0
2022-07-27,493.4804,495.7011,489.1151,493.4279,9904701.0
2022-07-28,493.4279,499.1887,484.7057,493.2654,11745864.0
2022-07-29,493.2654,496.6421,485.5873,490.2398,9039845.0
2022-08-01,490.2398,501.8274,481.4442,486.0539,7156516.0
2022-08-02,486.0539,487.0909,476.5446,481.2776,17156023.0
2022-08-03,481.2776,487.4856,478.3099,485.552,7732051.0
2022-08-04,485.552,486.7969,477.3714,486.4574,9560889.0
2022-08-05,486.4574,487.7484,482.2555,485.4463,7340757.0
2022-08-08,485.4463,486.1708,479.3938,483.9656,8203930.0
2022-08-09,483.9656,488.0579,481.8977,482.3992,10162572.0
2022-08-10,482.3992,487.4256,478.194,484.5905,4776405.0
2022-08-11,484.5905,495.2869,479.5958,494.212,8073273.0
2022-08-12,494.212,496.6773,471.8387,482.8131,4457661.0
2022-08-15,482.8131,484.3341,477.4317,478.2104,10731695.0
2022-08-16,478.2104,486.7004,466.9066,480.1855,7067460.0
2022-08-17,480.1855,492.6421,474.1591,489.7686,8577150.0
2022-08-18,489.7686,499.2361,487.1539,487.8283,7685736.0
2022-08-19,487.8283,501.3417,485.0333,498.403,8556926.0
2022-08-22,498.403,502.2873,488.0132,496.3657,15848691.0
2022-08-23,496.3657,497.4724,483.9902,490.131,7726786.0
2022-08-24,490.131,497.8705,487.6889,492.1749,7934629.0
2022-08-25,492.1749,492.2954,490.7516,491.2475,12724562.0
2022-08-26,491.2475,494.2095,489.7541,493.3966,9538820.0
2022-08-29,493.3966,505.6282,491.4392,499.9176,9525852.0
2022-08-30,499.9176,506.1827,498.0257,500.6524,5905565.0
2022-08-31,500.6524,501.1837,492.1825,495.1654,10264895.0
2022-09-01,495.1654,499.9797,492.8883,493.8322,7901771.0
2022-09-02,493.8322,501.5455,485.2394,489.391,9043298.0
2022-09-05,489.391,494.2345,479.8325,487.199,7212273.0
2022-09-06,487.199,499.3618,483.2371,493.0146,10937098.0
2022-09-07,493.0146,507.8715,492.0543,501.621,16172629.0
2022-09-08,501.621,503.6668,497.3338,498.1412,10859327.0
2022-09-09,498.1412,508.7275,490.9805,504.4824,9943349.0
2022-09-12,504.4824,509.4248,493.4047,498.303,5698412.0
2022-09-13,498.303,506.0904,485.4918,499.1311,7485726.0
2022-09-14,499.1311,508.0742,491.3568,505.481,6892188.0
2022-09-15,505.481,520.8242,504.3214,506.5095,11922491.0
2022-09-16,506.5095,507.3143,505.5696,505.9705,14287560.0
2022-09-19,505.9705,513.3127,501.0274,508.723,16663081.0
2022-09-20,508.723,513.4232,508.2415,508.2536,9488470.0
2022-09-21,508.2536,513.5516,493.9797,503.8377,10066528.0
2022-09-22,503.8377,511.441,499.4856,508.0185,6536548.0
2022-09-23,508.0185,513.5032,501.5364,508.5579,4994601.0
2022-09-26,508.5579,514.1963,505.9051,509.7763,10160460.0
2022-09-27,509.7763,520.2596,504.4752,505.3439,4964294.0
2022-09-28,505.3439,522.7967,498.6055,512.6997,9726345.0
2022-09-29,512.6997,515.5956,502.4835,509.4584,8250172.0
2022-09-30,509.4584,512.3188,495.3304,500.1548,8691056.0
2022-10-03,500.1548,507.4435,496.8269,506.5608,10135380.0
2022-10-04,506.5608,510.0959,499.3941,501.1299,9440055.0
2022-10-05,501.1299,505.2037,498.1018,500.7789,4548142.0
2022-10-06,500.7789,506.0759,480.997,488.2565,7498083.0
2022-10-07,488.2565,497.1003,485.6917,487.8185,7073931.0
2022-10-10,487.8185,493.1425,480.2142,483.9723,9713743.0
2022-10-11,483.9723,491.119,482.8956,487.6246,6599040.0
2022-10-12,487.6246,488.2061,485.9337,487.7779,6651958.0
2022-10-13,487.7779,489.029,486.1248,488.5109,12689876.0
2022-10-14,488.5109,493.372,478.7424,481.4646,13107551.0
2022-10-17,481.4646,493.1426,476.0246,483.4458,7467390.0
2022-10-18,483.4458,489.2946,476.4918,487.4819,12564506.0
2022-10-19,487.4819,492.8799,487.0815,491.0911,6714791.0
2022-10-20,491.0911,496.0426,489.8813,495.2379,8421704.0
2022-10-21,495.2379,496.2279,493.4999,495.7454,10627598.0
2022-10-24,495.7454,502.3758,489.4899,499.9279,5673426.0
2022-10-25,499.9279,510.3312,496.1343,504.5156,5837560.0
2022-10-26,504.5156,509.6338,500.261,504.2814,13172010.0
2022-10-27,504.2814,508.1432,498.9014,507.295,6204872.0
2022-10-28,507.295,512.7461,497.6783,506.5206,9102308.0
2022-10-31,506.5206,507.4581,503.9185,505.1292,12525705.0
2022-11-01,505.1292,512.8233,497.5396,511.4569,8309894.0
2022-11-02,511.4569,518.4179,511.0245,516.3946,9626604.0
2022-11-03,516.3946,519.0384,509.7753,517.1862,7804827.0
2022-11-04,517.1862,525.6727,511.6667,516.5821,10909197.0
2022-11-07,516.5821,518.076,509.5321,516.6269,8818238.0
2022-11-08,516.6269,517.4244,501.5225,506.218,14255563.0
2022-11-09,506.218,515.0236,505.4597,508.6519,8421665.0
2022-11-10,508.6519,524.8779,502.8308,513.8738,9756194.0
2022-11-11,513.8738,528.035,512.8008,523.7906,11566613.0
2022-11-14,523.7906,523.8909,520.2612,522.8159,17196011.0
2022-11-15,522.8159,538.912,513.437,516.8649,15622472.0
2022-11-16,516.8649,528.5193,515.6725,523.215,10689140.0
2022-11-17,523.215,530.0717,521.878,525.9246,13097129.0
2022-11-18,525.9246,537.2389,521.9341,534.6942,7480862.0
2022-11-21,534.6942,542.7058,531.913,533.2428,7558446.0
2022-11-22,533.2428,535.4067,530.5684,532.9025,4812221.0
2022-11-23,532.9025,535.3468,516.1694,522.3871,8561883.0
2022-11-24,522.3871,529.5295,515.3966,518.0294,9391441.0
2022-11-25,518.0294,519.282,513.3707,514.0366,5766622.0
2022-11-28,514.0366,517.1384,512.374,513.6309,9629539.0
2022-11-29,513.6309,522.7973,510.6578,520.9893,7227710.0
2022-11-30,520.9893,531.7407,515.3944,530.2877,10505531.0
2022-12-01,530.2877,547.9804,523.6574,540.0097,13771731.0
2022-12-02,540.0097,544.5855,536.7733,541.9754,16512964.0
2022-12-05,541.9754,561.2748,539.8718,553.3325,11845883.0
2022-12-06,553.3325,563.2879,547.7945,552.2395,8663384.0
2022-12-07,552.2395,555.3986,546.2822,553.0759,13698513.0
2022-12-08,553.0759,557.105,536.1617,542.6624,6893724.0
2022-12-09,542.6624,550.7846,531.4281,537.0176,9013674.0
2022-12-12,537.0176,542.0891,517.2122,528.8381,12545278.0
2022-12-13,528.8381,535.0426,523.9766,530.6836,7666989.0
2022-12-14,530.6836,540.8333,526.2295,540.2581,10095851.0
2022-12-15,540.2581,545.0279,526.7408,543.4864,6899405.0
2022-12-16,543.4864,559.955,542.8044,555.7801,6779202.0
2022-12-19,555.7801,561.4259,549.6929,559.9945,13462483.0
2022-12-20,559.9945,582.7135,554.6671,569.4067,11155551.0
2022-12-21,569.4067,574.0698,563.3778,568.97,8537384.0
2022-12-22,568.97,573.6207,562.7291,563.8314,11674991.0
2022-12-23,563.8314,567.1236,542.2779,551.9648,6392310.0
2022-12-26,551.9648,566.0925,550.5048,554.235,8719912.0
2022-12-27,554.235,564.0689,554.1156,560.8125,6929764.0
2022-12-28,560.8125,576.9331,559.9169,567.9017,9377095.0
2022-12-29,567.9017,575.1465,563.2836,575.0164,10312015.0
2022-12-30,575.0164,593.7259,569.0488,583.1068,10447356.0
2023-01-02,583.1068,583.2763,571.2712,573.261,11595624.0
2023-01-03,573.261,578.9182,569.1638,571.2248,10888306.0
2023-01-04,571.2248,572.6526,557.2061,568.1356,9256330.0
2023-01-05,568.1356,583.6181,555.9955,579.8871,12125366.0
2023-01-06,579.8871,580.989,578.9703,579.887,10567891.0
2023-01-09,579.887,585.7823,563.9109,572.2674,13566886.0
2023-01-10,572.2674,577.3817,567.4084,575.7165,8184970.0
2023-01-11,575.7165,583.5504,573.3179,579.1089,8015637.0
2023-01-12,579.1089,581.545,570.7937,573.7291,9652469.0
2023-01-13,573.7291,588.5479,565.554,566.2482,16035840.0
2023-01-16,566.2482,575.673,559.0943,560.0568,9687724.0
2023-01-17,560.0568,571.4626,554.8299,566.4122,8688471.0
2023-01-18,566.4122,574.0805,559.7786,568.0343,11479292.0
2023-01-19,568.0343,575.0252,562.9918,565.4197,16682870.0
2023-01-20,565.4197,571.8428,564.9895,569.7695,5590154.0
2023-01-23,569.7695,588.0788,563.6216,583.1913,7814387.0
2023-01-24,583.1913,600.108,580.6494,593.0897,5436013.0
2023-01-25,593.0897,594.6602,592.6525,593.9826,9873343.0
2023-01-26,593.9826,600.1461,574.1056,580.0169,6276757.0
2023-01-27,580.0169,581.3294,577.8158,578.4426,7403715.0
2023-01-30,578.4426,585.6896,571.2112,576.6112,10484692.0
2023-01-31,576.6112,580.2842,575.0642,575.9907,8876865.0
2023-02-01,575.9907,588.725,574.8427,581.1247,10461941.0
2023-02-02,581.1247,585.5672,569.4729,578.6173,9491752.0
2023-02-03,578.6173,586.913,575.197,580.6689,12842665.0
2023-02-06,580.6689,582.2188,576.3597,579.3272,6680846.0
2023-02-07,579.3272,598.6557,575.5206,579.523,5277835.0
2023-02-08,579.523,584.2665,566.3649,582.557,6138703.0
2023-02-09,582.557,586.0686,576.909,580.2118,9151163.0
2023-02-10,580.2118,596.7313,579.1664,581.8416,8019597.0
2023-02-13,581.8416,590.4347,560.9798,578.1801,8770933.0
2023-02-14,578.1801,584.168,570.8004,578.5924,7184083.0
2023-02-15,578.5924,593.7418,575.9355,588.3159,7731668.0
2023-02-16,588.3159,597.193,579.4278,582.8557,6853143.0
2023-02-17,582.8557,592.6663,580.5087,585.7736,8437777.0
2023-02-20,585.7736,593.223,578.349,591.9632,7181280.0
2023-02-21,591.9632,605.8303,582.8727,593.1956,6447786.0
2023-02-22,593.1956,598.9465,573.1811,593.9055,7734720.0
2023-02-23,593.9055,599.6155,582.3784,596.0324,6803833.0
2023-02-24,596.0324,605.8055,590.7055,598.0426,7696303.0
2023-02-27,598.0426,607.656,589.9588,600.4815,8410846.0
